unit,iccs,country	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993
NR,theft_motor_vehicle,CY	1811 	1748 	1683 	1627 	1786 	2025 	1780 	1610 	1475 	1569 	1206 	1441 	1237 	959 	1252 	1548 	1661 	543 	551 	587
NR,theft_motor_vehicle,CZ	11127 	12393 	13109 	14770 	18793 	20329 	20996 	23040 	24230 	25331 	26143 	23539 	25539 	28946 	29779 	31331 	29639 	27327 	28101 	28322
NR,theft_motor_vehicle,DE	70511 	78558 	83480 	87693 	89036 	92628 	90224 	96451 	107920 	109846 	116230 	121533 	127750 	140636 	162518 	190585 	225787 	262620 	272357 	276745
NR,theft_motor_vehicle,DK	13427 	17375 	20745 	25236 	26804 	25868 	25183 	25887 	31525 	34037 	37390 	37444 	41740 	42179 	46020 	50220 	51512 	46174 	45743 	46173
NR,theft_motor_vehicle,EE	620 	752 	870 	934 	1035 	1007 	1239 	1929 	1840 	2099 	2628 	2818 	2322 	2455 	2106 	1762 	1643 	1955 	2536 	2621
NR,theft_motor_vehicle,EL	31166 	32242 	27587 	26711 	23550 	22516 	20216 	17552 	5568 	5865 	5385 	5700 	5585 	7239 	7610 	6568 	5309 	: 	: 	:
NR,theft_motor_vehicle,ES	55197 	60061 	65948 	78224 	96100 	107786 	117663 	120946 	126902 	138829 	156232 	158898 	144509 	148881 	147620 	142047 	113924 	98848 	99769 	:
NR,theft_motor_vehicle,FI	8815 	11983 	11150 	12188 	13804 	14827 	15276 	16791 	19326 	21922 	23115 	22583 	26391 	29611 	26404 	22015 	20261 	19772 	21043 	21059
NR,theft_motor_vehicle,FR	122778 	186684 	195196 	207947 	211484 	224658 	243153 	260538 	285680 	328678 	382148 	418983 	401057 	395947 	415930 	417360 	443767 	453525 	484179 	:
NR,theft_motor_vehicle,FX	: 	: 	: 	207947 	211484 	224658 	243153 	260538 	285680 	328678 	382148 	418983 	401057 	395947 	415930 	417360 	443767 	453525 	484179 	:
NR,theft_motor_vehicle,HR	1361 	1560 	1568 	1828 	1927 	2069 	2033 	2274 	2462 	2338 	2404 	2222 	2055 	: 	: 	: 	: 	: 	: 	:
NR,theft_motor_vehicle,HU	9071 	8655 	8624 	9676 	10109 	15017 	10058 	10770 	10969 	12240 	11569 	12585 	14470 	16822 	21011 	20823 	24094 	18391 	16051 	13254
NR,theft_motor_vehicle,IE	8392 	10393 	11410 	13129 	14307 	13531 	13661 	14199 	14369 	12463 	14111 	14710 	16140 	14851 	13793 	13589 	13405 	11754 	12039 	13244
NR,theft_motor_vehicle,IT	196589 	198774 	197583 	213407 	229961 	277549 	280167 	265975 	270129 	221543 	232564 	235946 	243890 	294726 	309113 	301233 	317897 	305438 	302490 	311256
NR,theft_motor_vehicle,LI	6 	1 	8 	7 	16 	7 	7 	10 	16 	14 	7 	8 	6 	17 	7 	6 	: 	: 	: 	:
NR,theft_motor_vehicle,LT	1724 	1807 	2060 	1967 	2553 	2848 	3460 	4541 	6330 	7022 	6484 	6626 	5991 	4279 	4843 	4485 	4561 	5206 	5068 	3037
NR,theft_motor_vehicle,LU	332 	394 	357 	365 	343 	454 	523 	464 	526 	453 	519 	496 	542 	626 	655 	675 	819 	1196 	898 	1234
NR,theft_motor_vehicle,LV	: 	: 	1251 	1825 	1868 	1729 	2168 	2023 	2960 	3369 	2845 	2769 	2932 	3102 	2493 	2082 	2215 	2774 	: 	:
NR,theft_motor_vehicle,ME	129 	: 	: 	121 	85 	98 	98 	121 	67 	78 	166 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,theft_motor_vehicle,MK	371 	487 	527 	607 	581 	413 	365 	567 	827 	560 	576 	511 	730 	: 	: 	: 	: 	: 	: 	:
NR,theft_motor_vehicle,MT	306 	364 	372 	401 	398 	388 	584 	672 	798 	887 	707 	848 	1051 	1076 	1166 	: 	: 	: 	: 	:
NR,theft_motor_vehicle,NL	19930 	21000 	21730 	21850 	21665 	21425 	23825 	27425 	30652 	34271 	42428 	43068 	46634 	46079 	45770 	46086 	41919 	46909 	53182 	49505
NR,theft_motor_vehicle,NO	7953 	9318 	10858 	12014 	11901 	12571 	14619 	15350 	17867 	20130 	22595 	18833 	21285 	19068 	19781 	18432 	19703 	20817 	19436 	19746
NR,theft_motor_vehicle,PL	16230 	16575 	16539 	17271 	17669 	21284 	30529 	45292 	51150 	54291 	53674 	59458 	68062 	71543 	61151 	53319 	47557 	50684 	42021 	29556
NR,theft_motor_vehicle,PT	15839 	19479 	20288 	22523 	25259 	23957 	24495 	25716 	29237 	29934 	30250 	26162 	26428 	28163 	26965 	22792 	19993 	17360 	18340 	15542
NR,theft_motor_vehicle,RO	1627 	1881 	2531 	2967 	2355 	1817 	1266 	1082 	1120 	1127 	1297 	1952 	2149 	2331 	2284 	2110 	1800 	2687 	2362 	2078
NR,theft_motor_vehicle,RS	2761 	3370 	3286 	3618 	3773 	4075 	3533 	3472 	3572 	3056 	4600 	6796 	5889 	: 	: 	: 	: 	: 	: 	:
NR,theft_motor_vehicle,SE	28926 	34471 	35009 	40359 	44717 	49249 	51639 	56719 	60980 	67199 	75593 	73309 	75125 	78216 	76495 	78826 	71567 	70299 	66234 	73782
NR,theft_motor_vehicle,SI	539 	528 	534 	586 	584 	839 	852 	873 	704 	682 	815 	691 	1291 	1147 	1997 	1549 	1946 	1425 	1350 	:
NR,theft_motor_vehicle,SK	2546 	2694 	3354 	3779 	4135 	4719 	5525 	5591 	6000 	5295 	5099 	5344 	6073 	7123 	7682 	7438 	6682 	7696 	9137 	9698
NR,theft_motor_vehicle,TR	12937 	12450 	13633 	16556 	18182 	24263 	33201 	33441 	25749 	25517 	20773 	20565 	15276 	18177 	19394 	19897 	22873 	15192 	278 	299
NR,theft_motor_vehicle,UKC-L	79829 	92056 	106162 	117684 	147238 	170038 	193384 	214182 	242732 	291858 	318507 	328115 	338796 	374686 	391807 	407239 	493489 	508450 	524094 	597519
NR,theft_motor_vehicle,UKM	5731 	7060 	8716 	9304 	11551 	12105 	15000 	14041 	15633 	17843 	22495 	23208 	26238 	29818 	28433 	28646 	34161 	37514 	41962 	42816
NR,theft_motor_vehicle,UKN	2138 	2290 	2719 	2976 	2956 	3336 	3418 	3724 	4457 	5369 	8410 	11635 	10806 	10196 	9715 	8633 	8404 	7794 	8974 	9011
NR,theft_motor_vehicle,XK	324 	445 	340 	393 	464 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,AL	: 	: 	: 	: 	274 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,AT	1990 	2320 	2167 	2099 	1980 	2473 	2377 	2337 	2443 	2506 	2320 	2399 	1503 	2514 	2594 	2656 	2209 	2058 	: 	:
NR,unlawful_acts,BA	: 	: 	: 	1584 	1519 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,BE	10890 	13746 	14732 	14953 	14852 	14220 	13202 	12874 	12228 	10976 	10862 	10847 	11893 	: 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,BG	2960 	2859 	3765 	3662 	2857 	2844 	2824 	2720 	2412 	2006 	1648 	1487 	424 	808 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,CH	19473 	17329 	19086 	18346 	7317 	6297 	6296 	7076 	7803 	7806 	7877 	7416 	7549 	8147 	7896 	7868 	8072 	7685 	7663 	8798
NR,unlawful_acts,CY	1030 	936 	851 	705 	780 	876 	653 	611 	514 	475 	433 	397 	289 	251 	285 	240 	183 	157 	135 	86
NR,unlawful_acts,CZ	3814 	3635 	3010 	3046 	2812 	2639 	2668 	2706 	2803 	3497 	4114 	4052 	4336 	: 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,DE	47667 	50791 	49622 	50965 	55905 	64093 	64865 	72002 	75347 	73375 	76038 	79787 	76594 	73271 	68994 	69093 	65615 	54889 	45088 	:
NR,unlawful_acts,DK	3662 	3580 	3297 	2849 	3237 	3258 	2917 	2738 	3158 	2667 	2675 	2553 	2527 	: 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,EE	866 	913 	901 	1042 	1558 	1449 	981 	686 	494 	604 	632 	628 	306 	180 	117 	30 	30 	12 	8 	8
NR,unlawful_acts,EL	9628 	9384 	10010 	12335 	11861 	9271 	9600 	10183 	8838 	10904 	10424 	9820 	7785 	6692 	6574 	5970 	4272 	2930 	1837 	1577
NR,unlawful_acts,ES	14509 	15220 	14391 	14343 	14564 	14098 	12711 	11968 	11947 	11742 	12133 	12160 	11496 	12708 	13985 	14419 	15308 	15119 	15608 	:
NR,unlawful_acts,FI	8810 	8301 	7566 	7267 	5659 	5115 	4837 	5177 	5269 	5974 	6617 	14869 	13445 	11674 	9461 	8323 	7868 	9052 	5936 	:
NR,unlawful_acts,FR	4821 	5928 	5869 	6007 	6128 	5797 	5792 	6108 	6296 	6094 	5165 	4047 	4254 	12529 	11908 	8300 	5158 	5661 	8714 	:
NR,unlawful_acts,FX	: 	: 	: 	6007 	6128 	5797 	5792 	6108 	6296 	6094 	5165 	4047 	4254 	12529 	11908 	8300 	5158 	5661 	8714 	:
NR,unlawful_acts,HR	7295 	7767 	7784 	7063 	7882 	7952 	8346 	8186 	7529 	7992 	8717 	8609 	7338 	: 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,HU	570 	721 	794 	715 	5464 	4676 	6740 	7626 	6678 	3387 	4790 	4332 	3454 	2881 	2075 	957 	451 	438 	259 	230
NR,unlawful_acts,IE	4057 	4495 	4726 	4348 	4587 	3817 	3152 	2745 	2270 	2430 	2632 	2198 	1737 	: 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,IS	92 	83 	95 	101 	104 	104 	92 	95 	165 	149 	121 	117 	103 	: 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,IT	33852 	34034 	32761 	34101 	34082 	34439 	32306 	32059 	30053 	37288 	37965 	36045 	34800 	45038 	43014 	41420 	38954 	38269 	38290 	33310
NR,unlawful_acts,LI	257 	434 	531 	357 	210 	225 	285 	435 	459 	364 	447 	387 	269 	274 	179 	107 	214 	: 	: 	:
NR,unlawful_acts,LT	1748 	1016 	896 	876 	793 	765 	704 	999 	711 	509 	213 	165 	90 	58 	93 	54 	93 	68 	58 	25
NR,unlawful_acts,LU	2583 	2941 	2574 	2232 	1343 	1448 	1201 	1326 	1342 	1133 	1321 	1077 	1226 	941 	825 	805 	864 	764 	751 	613
NR,unlawful_acts,LV	2750 	1967 	2189 	2307 	2512 	1434 	997 	1049 	1148 	997 	629 	830 	655 	511 	389 	428 	361 	271 	: 	:
NR,unlawful_acts,ME	147 	316 	307 	398 	460 	549 	438 	294 	355 	299 	305 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,MK	594 	589 	578 	551 	415 	451 	315 	390 	357 	397 	273 	335 	410 	: 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,MT	203 	178 	181 	187 	180 	149 	123 	113 	78 	: 	: 	: 	: 	100 	88 	37 	: 	: 	: 	:
NR,unlawful_acts,NL	17750 	16780 	17325 	18580 	18875 	19560 	20035 	19285 	15662 	15633 	12752 	10380 	7474 	7613 	7690 	7646 	4626 	4248 	4452 	3006
NR,unlawful_acts,NO	21603 	19985 	21954 	18616 	17547 	19086 	19156 	17118 	16814 	16152 	19294 	19945 	17579 	16059 	15420 	14455 	12316 	10793 	7240 	6777
NR,unlawful_acts,PL	4330 	4350 	4668 	3975 	3317 	3926 	3220 	3608 	3296 	2577 	2371 	2219 	1806 	2124 	2231 	1005 	494 	284 	127 	228
NR,unlawful_acts,PT	4635 	4210 	4546 	4260 	3710 	3265 	3610 	3536 	3654 	3739 	4053 	3853 	3214 	4091 	3538 	3390 	3879 	4512 	4517 	:
NR,unlawful_acts,RO	2872 	3456 	3852 	3228 	3621 	2796 	3079 	2441 	1775 	1131 	1074 	658 	561 	653 	620 	803 	597 	368 	: 	:
NR,unlawful_acts,RS	4774 	4941 	5573 	5500 	6049 	5414 	5505 	5256 	4116 	2492 	1077 	1082 	885 	: 	: 	: 	: 	: 	: 	:
NR,unlawful_acts,SE	13914 	10423 	10321 	8192 	7997 	6918 	6449 	4670 	4905 	5129 	5259 	5086 	4395 	5798 	5766 	6062 	6584 	6924 	: 	:
NR,unlawful_acts,SI	1760 	1505 	1756 	2096 	1434 	1429 	1590 	1026 	997 	775 	1162 	1140 	939 	746 	676 	631 	452 	310 	261 	199
NR,unlawful_acts,SK	756 	846 	584 	613 	538 	503 	421 	847 	711 	734 	674 	652 	604 	362 	520 	967 	735 	606 	88 	:
NR,unlawful_acts,TR	84528 	67411 	81060 	53990 	27050 	26539 	14647 	8726 	6720 	5036 	5147 	4312 	3520 	3318 	3145 	2602 	1968 	1840 	2039 	1168
NR,unlawful_acts,UKC-L	29765 	31316 	32336 	33223 	29885 	28323 	26550 	25276 	24190 	24628 	22435 	19686 	19820 	19956 	21788 	23153 	22122 	21272 	18340 	:
NR,unlawful_acts,UKM	5136 	6684 	7138 	9901 	10315 	9827 	10890 	9613 	9333 	9044 	10327 	10293 	8761 	8668 	8490 	8180 	6957 	7974 	5918 	5233
NR,unlawful_acts,UKN	890 	846 	762 	668 	607 	530 	475 	349 	375 	405 	291 	210 	228 	193 	193 	185 	204 	358 	156 	:
NR,unlawful_acts,XK	554 	535 	482 	364 	314 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,TOTAL,AL	: 	: 	: 	: 	58063 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
NR,TOTAL,AT	548027 	540007 	535745 	591597 	572695 	594240 	589495 	605272 	643648 	643286 	591584 	522710 	560306 	493246 	479859 	481549 	485450 	486433 	504568 	493786
NR,TOTAL,BE	1073773 	1110972 	1072011 	1067295 	1043628 	1034430 	1022813 	999396 	1013674 	1007783 	1012781 	971437 	1002660 	: 	: 	: 	: 	: 	: 	:
NR,TOTAL,BG	120558 	128602 	147025 	138105 	126673 	134685 	136410 	137800 	142093 	143921 	146929 	147022 	148915 	145035 	163988 	228219 	184975 	196346 	: 	:
NR,TOTAL,CH	750371 	692954 	656858 	676309 	323235 	326232 	335157 	352723 	389415 	379343 	356841 	321713 	317335 	355255 	378045 	382769 	356018 	346634 	358028 	371740
NR,TOTAL,CY	7973 	8480 	8393 	7104 	7341 	7556 	7917 	7212 	7615 	7256 	4758 	4506 	4340 	4212 	4316 	3910 	4529 	4033 	4304 	4300
NR,TOTAL,CZ	304528 	317177 	313387 	332829 	343799 	357391 	336446 	344060 	351629 	357740 	372341 	358577 	391469 	426626 	425930 	403654 	394267 	375630 	372427 	398505
NR,TOTAL,DE	5997040 	5990679 	5933278 	6054330 	6114128 	6284661 	6304223 	6391715 	6633156 	6572135 	6507394 	6363865 	6264723 	6302316 	6456996 	6586165 	6647598 	6668717 	6537748 	6750613
NR,TOTAL,DK	440772 	466765 	471088 	491792 	476953 	445271 	425093 	432704 	474419 	486174 	491511 	473290 	504231 	494191 	499167 	531102 	528488 	538963 	546926 	546894
NR,TOTAL,EE	40816 	42567 	48340 	48359 	50977 	50375 	51834 	52916 	53048 	53595 	53293 	58497 	57799 	51539 	45721 	40972 	35411 	39570 	35739 	37163
NR,TOTAL,EL	194144 	194031 	333988 	386893 	417391 	423422 	463750 	455952 	405627 	441839 	441138 	439629 	369137 	373680 	385681 	377749 	349476 	329110 	303311 	358503
NR,TOTAL,ES	2268867 	2285525 	2297484 	2339203 	2396890 	2309859 	2267114 	2230906 	2141295 	2144155 	2183457 	2052492 	1852858 	1895983 	1865572 	1823330 	1770019 	1659026 	1604190 	1544975
NR,TOTAL,FI	425421 	458251 	431623 	441416 	440711 	435824 	416131 	432302 	445465 	443481 	435009 	430343 	453056 	436552 	423794 	412188 	416181 	422246 	426371 	433783
NR,TOTAL,FR	2984834 	: 	: 	3521256 	3558329 	3589293 	3725588 	3775838 	3825442 	3974694 	4113882 	4061792 	3771849 	3567864 	3565525 	3493442 	3559617 	3665320 	3919008 	3881894
NR,TOTAL,FX	: 	: 	: 	3521256 	3558329 	3589293 	3725588 	3775838 	3825442 	3974694 	4113882 	4061792 	3771849 	3567864 	3565525 	3493442 	3559617 	3665320 	3919008 	3881894
NR,TOTAL,HR	72171 	75620 	73328 	73497 	74571 	75857 	81049 	79946 	85416 	80377 	77905 	78351 	68378 	58190 	56015 	55085 	58364 	63015 	64051 	77280
NR,TOTAL,HU	472236 	451371 	447186 	394034 	408407 	426914 	425941 	436522 	418833 	413343 	420782 	465694 	450673 	505716 	600621 	514403 	466050 	502036 	389451 	400935
NR,TOTAL,IE	: 	: 	: 	: 	: 	: 	103178 	102206 	99244 	103462 	106415 	86633 	73276 	81274 	85627 	90875 	100785 	102484 	101036 	98979
NR,TOTAL,IS	11746 	12639 	14911 	15966 	14578 	13038 	13483 	12028 	16565 	17515 	19938 	18547 	18584 	: 	: 	: 	: 	: 	: 	:
NR,TOTAL,IT	2818834 	2763012 	2621019 	2629831 	2709888 	2933146 	2771490 	2579124 	2417716 	2456887 	2231550 	2163826 	2205782 	2373966 	2425748 	2440754 	2422991 	2267488 	2173448 	2259903
NR,TOTAL,LI	1142 	1061 	1046 	1216 	1112 	1075 	1189 	1059 	1043 	1138 	1002 	1086 	898 	795 	858 	869 	1002 	: 	: 	:
NR,TOTAL,LT	75349 	72086 	70618 	76291 	71972 	67990 	75474 	82074 	84136 	79072 	72646 	79265 	82370 	77108 	78149 	75816 	68053 	60819 	58364 	60378
NR,TOTAL,LU	37639 	35702 	30532 	32378 	28210 	28252 	25913 	25321 	26907 	26163 	26046 	22646 	22816 	26957 	27155 	24355 	27566 	28380 	29166 	28338
NR,TOTAL,LV	49905 	51582 	51108 	56748 	57475 	55620 	62328 	51435 	62173 	51773 	49329 	51082 	50199 	43969 	36674 	36865 	38205 	39141 	: 	:
NR,TOTAL,ME	5827 	6147 	6994 	8101 	8277 	9258 	9564 	9579 	8227 	8613 	8934 	8463 	: 	: 	: 	: 	: 	: 	: 	:
NR,TOTAL,MK	29939 	29529 	28489 	27330 	28327 	26224 	22024 	22634 	22663 	22547 	18308 	17139 	19814 	: 	: 	: 	: 	: 	: 	:
NR,TOTAL,MT	15623 	14244 	13296 	11953 	13803 	15005 	16527 	18580 	18384 	17739 	17023 	15929 	17016 	16031 	14793 	: 	: 	: 	: 	:
NR,TOTAL,NL	1139720 	1194055 	1194030 	1254480 	1277775 	1303835 	1311770 	1348285 	1319482 	1369271 	1401871 	1379454 	1328909 	1303446 	1234900 	1219935 	1186512 	1226700 	1313600 	1272500
NR,TOTAL,NO	273541 	264247 	270656 	277121 	264199 	271712 	277016 	275684 	287821 	303824 	319523 	299714 	306526 	291924 	293799 	284695 	271205 	267925 	234941 	230180
NR,TOTAL,PL	1119803 	1159554 	1151157 	1129577 	1082057 	1152993 	1287918 	1379962 	1461217 	1466643 	1404229 	1390089 	1266910 	1121545 	1073042 	992373 	897751 	974941 	906157 	852507
NR,TOTAL,PT	403200 	413702 	422587 	426040 	430486 	398575 	399563 	392714 	416420 	417383 	391599 	372170 	363294 	362589 	341122 	321644 	322255 	326829 	332228 	307333
NR,TOTAL,RO	308468 	258895 	292682 	299889 	289331 	281457 	232659 	208239 	231637 	276841 	312204 	340414 	353745 	363690 	399105 	361061 	321651 	297046 	237004 	219487
NR,TOTAL,RS	96081 	99547 	101132 	102369 	106031 	104862 	99244 	102093 	99866 	90419 	95638 	121672 	106020 	: 	: 	: 	: 	: 	: 	:
NR,TOTAL,SE	1402588 	1416280 	1370399 	1405626 	1377854 	1306324 	1224958 	1241843 	1248743 	1255371 	1234784 	1189393 	1214968 	1194171 	1181056 	1196065 	1175339 	1145945 	1112505 	1191251
NR,TOTAL,SI	91430 	88722 	89489 	87465 	81917 	88197 	90354 	84379 	86568 	76643 	77218 	74794 	67618 	61693 	55259 	37173 	36587 	38178 	43635 	44278
NR,TOTAL,SK	90351 	92873 	95252 	104905 	104758 	110802 	115152 	123563 	131244 	111893 	107373 	93053 	88817 	94016 	93895 	92395 	99402 	114579 	137713 	146125
NR,TOTAL,TR	1904456 	1652802 	1521723 	1288085 	1012291 	970554 	975118 	667820 	507539 	472153 	438714 	400337 	337079 	338606 	357311 	356677 	344395 	279001 	36593 	30482
NR,TOTAL,UKC-L	3731338 	4023253 	4150916 	4338295 	4702697 	4952277 	5427558 	5555172 	5637511 	6013759 	5974960 	5521825 	5167312 	5298044 	5105764 	4600324 	5036552 	5100241 	5146383 	5526255
NR,TOTAL,UKM	273053 	314188 	323247 	338124 	377433 	385509 	419257 	417785 	438121 	406979 	427034 	421093 	423172 	435703 	431551 	420642 	451956 	475697 	500110 	517247
NR,TOTAL,UKN	100389 	103389 	105040 	109139 	110094 	108468 	121144 	123194 	118124 	127953 	142496 	139786 	119912 	119111 	109053 	62222 	68549 	68808 	67886 	66228
NR,TOTAL,XK	65197 	64808 	36822 	33131 	36196 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	:
